Date,Close/Last,Volume,Open,High,Low
10/13/2020,155.40,3413072,155.11,156.10,154.5901
10/12/2020,155.43,3197227,154.46,156.1415,154.24
10/09/2020,153.39,3681474,152.60,153.75,152.41
10/08/2020,151.81,2533327,151.80,151.91,150.695
10/07/2020,150.82,2502953,149.24,151.18,149.24
10/06/2020,147.45,3977298,150.37,151.05,147.21
10/05/2020,150.23,2320379,149.06,150.395,148.93
10/02/2020,148.27,4090945,146.12,148.77,146.06
10/01/2020,148.90,3879579,148.43,149.03,147.49
09/30/2020,146.98,4474396,146.23,148.72,146.05
09/29/2020,145.79,3028827,146.86,146.959,145.69
09/28/2020,146.93,2662675,145.81,147.27,145.22
09/25/2020,143.92,2514322,142.03,144.41,141.04
09/24/2020,142.07,4498673,141.48,144.06,140.40
09/23/2020,142.13,3965354,146.00,146.27,141.84
09/22/2020,144.50,3819341,142.38,144.63,141.91
09/21/2020,141.51,4217906,141.29,141.67,139.0323
09/18/2020,143.89,5423621,146.38,146.435,142.69
09/17/2020,145.92,4424640,145.84,146.87,144.70
09/16/2020,148.00,2608622,149.45,150.03,147.93
09/15/2020,148.83,2706225,148.55,149.34,148.06
09/14/2020,147.62,2778340,147.69,148.76,147.04
09/11/2020,146.07,3798254,146.84,147.51,144.69
09/10/2020,145.85,6277087,148.71,150.28,145.37
09/09/2020,147.97,3712940,146.59,149.07,145.735
09/08/2020,145.23,7606291,144.74,147.27,144.05
09/04/2020,147.16,6669885,149.36,150.21,143.62
09/03/2020,148.88,7571015,153.32,153.43,147.45
09/02/2020,153.76,4077423,152.71,154.14,151.84
09/01/2020,151.66,4952274,150.23,151.75,150.02
08/31/2020,150.09,3512483,150.51,150.955,149.89
08/28/2020,150.53,2137875,150.32,150.80,149.74
08/27/2020,149.55,3085432,150.92,151.02,148.99
08/26/2020,150.36,2792253,148.90,150.60,148.76
08/25/2020,148.89,2599027,148.75,148.90,147.68
08/24/2020,148.40,2642251,147.18,148.46,147.17
08/21/2020,146.18,1823841,145.28,146.26,145.25
08/20/2020,145.43,1663269,144.77,145.85,144.40
08/19/2020,145.65,2655410,146.91,146.95,145.44
08/18/2020,146.34,2587680,146.00,146.66,144.91
08/17/2020,145.44,1608972,144.77,145.62,144.14
08/14/2020,143.59,1687059,143.60,143.91,142.97
08/13/2020,143.60,2371377,143.53,144.46,143.30
08/12/2020,143.66,3815599,143.18,143.96,142.63
08/11/2020,141.78,3546913,142.87,143.67,141.45
08/10/2020,142.06,2280328,140.88,142.22,140.66
08/07/2020,140.38,2976535,140.18,140.80,139.36
08/06/2020,140.17,2156094,138.99,140.47,138.79
08/05/2020,139.49,3268368,138.35,139.56,138.13
08/04/2020,137.81,2670092,136.44,137.85,136.42
08/03/2020,136.71,2794600,137.44,137.48,136.54
07/31/2020,137.00,3807170,137.97,138.21,135.49
07/30/2020,136.29,3970443,135.42,136.95,134.63
07/29/2020,136.40,2247524,135.92,136.69,135.71
07/28/2020,135.03,2559821,136.11,136.66,134.83
07/27/2020,136.38,2449656,136.12,136.69,135.40
07/24/2020,135.54,3143802,134.54,136.13,133.87
07/23/2020,135.30,3433847,137.51,137.51,134.37
07/22/2020,137.36,2660497,135.96,137.44,135.83
07/21/2020,136.19,2657904,137.04,137.23,135.69
07/20/2020,135.98,2735803,133.94,136.33,133.61
07/17/2020,133.84,3094657,134.99,134.99,133.3596
07/16/2020,134.47,3024682,133.74,134.85,133.28
07/15/2020,134.83,3752862,134.80,135.23,132.92
07/14/2020,132.93,5737048,130.97,133.01,129.43
